CGG_NM,STDG_NM,BLDG_USG,평균전세가_만원,거래건수
중구,장충동1가,아파트,450000.0,1
중구,회현동2가,아파트,181500.0,4
용산구,한남동,아파트,167963.1,107
용산구,한강로3가,아파트,157381.8,88
용산구,용산동5가,아파트,155267.2,29
서초구,반포동,아파트,154652.3,713
마포구,하중동,아파트,138022.2,18
용산구,용산동5가,오피스텔,136500.0,1
종로구,내수동,아파트,132678.6,14
중구,회현동1가,아파트,128111.1,9
용산구,한강로2가,아파트,124540.6,48
강남구,도곡동,아파트,122450.7,522
강남구,세곡동,연립다세대,122356.2,8
강남구,청담동,아파트,120274.4,288
종로구,홍파동,아파트,118401.9,43
서초구,잠원동,아파트,116737.4,677
종로구,사직동,아파트,116652.9,17
종로구,평동,아파트,116477.9,34
강남구,대치동,아파트,115707.8,841
마포구,서교동,아파트,114262.2,46
강남구,압구정동,아파트,113379.9,378
용산구,동자동,아파트,109512.5,8
중구,남대문로5가,아파트,109500.0,2
강남구,삼성동,아파트,109212.4,385
서초구,방배동,아파트,104123.7,510
마포구,용강동,아파트,103411.5,52
송파구,잠실동,아파트,101315.4,1072
서초구,서초동,아파트,99419.3,960
성동구,성수동1가,아파트,97689.3,354
마포구,상수동,아파트,96323.4,47
용산구,한남동,연립다세대,96219.6,51
용산구,신계동,아파트,95406.0,43
용산구,한강로1가,아파트,94661.5,13
송파구,신천동,아파트,93900.7,575
강남구,역삼동,아파트,92964.6,504
강남구,일원동,아파트,92758.1,353
강남구,개포동,아파트,90113.0,776
종로구,충신동,아파트,89750.0,8
용산구,서빙고동,아파트,88651.0,50
성동구,상왕십리동,아파트,86968.0,57
동작구,동작동,아파트,86836.7,49
마포구,현석동,아파트,86420.8,82
용산구,원효로1가,아파트,86406.5,70
마포구,염리동,아파트,86323.2,176
강남구,도곡동,오피스텔,86053.8,22
성동구,금호동4가,아파트,85241.6,209
송파구,가락동,아파트,85053.8,726
마포구,아현동,아파트,85016.5,354
영등포구,여의도동,아파트,84762.5,384
강남구,자곡동,연립다세대,84125.0,4
마포구,대흥동,아파트,83827.7,206
동작구,흑석동,아파트,83441.7,331
광진구,구의동,아파트,82768.1,304
용산구,효창동,아파트,82077.8,111
송파구,방이동,아파트,81846.7,328
종로구,청운동,연립다세대,81714.3,7
영등포구,당산동5가,아파트,81702.8,168
중구,만리동2가,아파트,81519.0,106
성동구,옥수동,아파트,80671.5,453
강남구,신사동,아파트,80646.7,43
성동구,금호동2가,아파트,80547.6,195
마포구,신공덕동,아파트,80239.8,147
용산구,이촌동,아파트,79553.6,502
성동구,하왕십리동,아파트,79289.1,347
마포구,공덕동,아파트,79240.3,236
마포구,합정동,아파트,79135.7,28
중구,충무로4가,아파트,78811.6,19
광진구,광장동,아파트,78755.1,351
종로구,무악동,아파트,78382.9,71
성동구,금호동1가,아파트,78047.8,259
종로구,인의동,아파트,77875.0,4
중구,중림동,아파트,77874.6,26
마포구,신수동,아파트,77810.1,146
용산구,청암동,아파트,77500.0,2
강남구,논현동,아파트,75920.2,211
양천구,목동,아파트,75600.4,1144
중구,만리동1가,아파트,75476.1,16
영등포구,영등포동7가,아파트,75188.6,139
종로구,통인동,연립다세대,75000.0,1
마포구,동교동,아파트,75000.0,1
서초구,내곡동,아파트,74810.9,91
광진구,자양동,아파트,74621.4,513
용산구,청파동3가,아파트,74500.0,1
강동구,고덕동,아파트,74339.8,584
성동구,행당동,아파트,74211.6,423
성북구,삼선동3가,아파트,74209.1,11
서대문구,냉천동,아파트,72882.0,30
용산구,한남동,오피스텔,72666.7,3
중구,순화동,아파트,72412.5,16
용산구,문배동,아파트,72361.5,122
서대문구,북아현동,아파트,72345.0,302
송파구,송파동,아파트,72259.5,244
성북구,보문동1가,아파트,72059.1,34
종로구,신문로2가,오피스텔,72000.0,1
마포구,창전동,아파트,71765.4,111
영등포구,문래동3가,아파트,71762.3,82
용산구,용문동,아파트,71554.3,23
서대문구,합동,아파트,70650.0,6
강동구,둔촌동,아파트,70623.8,243
성동구,성수동2가,아파트,70543.8,169
동작구,상도동,아파트,70532.5,703
영등포구,당산동4가,아파트,69985.5,175
강동구,상일동,아파트,69966.7,756
송파구,문정동,아파트,69759.3,450
송파구,거여동,아파트,69621.2,653
종로구,필운동,아파트,69000.0,2
중구,입정동,아파트,68285.6,27
용산구,동빙고동,아파트,68000.0,1
은평구,증산동,아파트,67911.0,190
영등포구,영등포동8가,아파트,67617.7,49
종로구,명륜1가,아파트,67500.0,2
서대문구,남가좌동,아파트,67307.2,443
종로구,명륜2가,아파트,65644.4,18
동작구,사당동,아파트,65097.0,737
성동구,도선동,아파트,65093.8,16
성북구,안암동1가,아파트,65088.5,13
성동구,금호동3가,아파트,64543.3,131
성동구,홍익동,아파트,64250.0,2
중구,신당동,아파트,64181.4,398
서대문구,북가좌동,아파트,64106.0,189
동작구,신대방동,아파트,63763.6,306
마포구,토정동,아파트,63455.2,34
용산구,도원동,아파트,63327.2,65
은평구,수색동,아파트,63196.1,258
동대문구,용두동,아파트,63143.6,243
종로구,내수동,연립다세대,63000.0,1
성북구,삼선동4가,아파트,62400.0,5
서대문구,현저동,아파트,62263.2,57
송파구,석촌동,아파트,62212.2,42
서대문구,영천동,아파트,62171.3,27
동대문구,전농동,아파트,61976.2,346
영등포구,당산동6가,아파트,61931.8,22
송파구,장지동,아파트,61760.5,768
마포구,마포동,오피스텔,61666.7,3
종로구,교북동,아파트,61294.4,18
송파구,풍납동,아파트,61272.2,295
용산구,이태원동,아파트,61084.2,55
마포구,도화동,아파트,60818.3,244
마포구,신정동,아파트,60723.9,24
영등포구,신길동,아파트,60651.3,747
구로구,신도림동,아파트,60445.8,354
성북구,보문동4가,아파트,60400.0,5
강동구,천호동,아파트,60038.8,304
중구,을지로5가,아파트,59925.0,4
용산구,문배동,단독다가구,59800.0,1
은평구,진관동,연립다세대,59600.0,10
영등포구,양평동3가,아파트,59412.9,97
종로구,평창동,단독다가구,59387.5,8
마포구,상암동,아파트,59315.2,321
강남구,수서동,아파트,59169.4,376
동작구,대방동,아파트,59092.6,181
마포구,연남동,아파트,58973.7,19
용산구,신창동,아파트,58833.3,3
송파구,오금동,아파트,58797.4,340
은평구,녹번동,아파트,58706.1,183
용산구,보광동,아파트,58635.4,24
성북구,보문동6가,아파트,58617.5,40
용산구,산천동,아파트,58446.8,83
성북구,길음동,아파트,58388.3,827
강남구,세곡동,아파트,58342.2,215
동작구,본동,아파트,58325.1,164
